"Chr_Gene","foregroundomega","Adjusted_P_Value"
"chr02_g52058.t1",42.27111,0.233154479564564
"chr01_g7375.t1",88.94614,0.235325835076417
"chr09_g6694.t1",11.73713,0.235325835076417
"chr03_g32475.t1",51.80017,0.245019695487053
"chr17_g41667.t1",19.63688,0.250073555886884
"chr11_g167.t1",17.22609,0.252047286550543
"chr01_g9231.t1",32.15016,0.262011820947886
"chr10_g55430.t1",40.15919,0.270935178783648
"chr20_g23178.t1",30.64662,0.270935178783648
"chr14_g39494.t1",999,0.276384731048719
"chr07_g16970.t1",999,0.280541948559824
"chr15_g1274.t1",218.8414,0.289579138043775
"chr14_g14257.t1",12.76952,0.291959760757767
"chr12_g17151.t1",999,0.29261806780067
"chr13_g4970.t1",859.87931,0.295860462004229
"chr07_g34864.t1",7.83934,0.297180324846722
"chr06_g38447.t1",80.8834,0.302430812620015
"chr15_g5628.t1",54.59584,0.302430812620015
"chr09_g7973.t1",98.02816,0.302592229932605
"chr22_g31474.t1",999,0.302592229932605
"chr13_g19264.t1",44.65394,0.303314059537913
"chr11_g15063.t1",999,0.323788130545692
"chr23_g41931.t1",52.94229,0.326401143683303
"chr02_g18976.t1",36.4017,0.327829070333884
"chr11_g18953.t1",61.63414,0.327829070333884
"chr16_g35357.t1",999,0.327829070333884
"chr19_g47306.t1",9.68943,0.327829070333884
"chr16_g22389.t1",999,0.328770772629935
"chr02_g41083.t1",195.8838,0.332414318786981
"chr16_g43984.t1",29.36007,0.332414318786981
"chr20_g42138.t1",97.15562,0.332414318786981
"chr03_g37505.t1",999,0.338620029135997
"chr09_g6505.t1",13.22268,0.338620029135997
"chr06_g57331.t1",38.17948,0.352481295279918
"chr05_g5176.t1",9.40913,0.356731627188809
"chr10_g37793.t1",298.54001,0.363167140525832
"chr03_g35899.t1",999,0.370802731009862
"chr19_g33190.t1",77.83276,0.374559279350375
"chr09_g6956.t1",50.95089,0.392435158310758
"chr07_g26642.t1",162.77268,0.40455246240826
"chr19_g32971.t1",50.59847,0.407588375645305
"chr16_g49785.t1",247.61463,0.41867551893976
"chr09_g54496.t1",999,0.419682206177043
"chr17_g19493.t1",42.60412,0.42135355458859
"chr22_g43334.t1",40.16346,0.42135355458859
"chr23_g53874.t1",999,0.422030001542018
"chr04_g18660.t1",36.24374,0.424520561535318
"chr21_g36097.t1",21.19678,0.425782309745433
"chr09_g57684.t1",40.43105,0.43242901442879
"chr15_g39375.t1",12.1652,0.43242901442879
"chr01_g6300.t1",15.64935,0.436397582359451
"chr13_g51475.t1",999,0.436397582359451
"chr14_g18403.t1",10.87816,0.441422307511197
"chr15_g46955.t1",25.97281,0.445088462563706
"chr19_g42219.t1",19.35861,0.445088462563706
"chr14_g24585.t1",999,0.453767560769465
"chr03_g19430.t1",209.14212,0.459266368109087
"chr20_g32480.t1",42.24998,0.463055230617076
"chr15_g38819.t1",72.29813,0.474818256325023
"chr11_g50240.t1",5.33141,0.484390247870794
"chr05_g20180.t1",999,0.492581773699679
"chr09_g48821.t1",1.11246,0.492581773699679
"chr09_g40593.t1",16.69492,0.495367035659414
"chr01_g55125.t1",73.44423,0.508212699320925
"chr12_g56762.t1",25.58157,0.508212699320925
"chr20_g2306.t1",6.57639,0.511498381754509
"chr05_g9031.t1",16.33845,0.536295535870343
"chr22_g35872.t1",13.72919,0.536295535870343
"chr22_g19581.t1",18.1484,0.539610995511893
"chr03_g21527.t2",65.0055,0.541589467101217
"chr07_g28771.t1",20.77426,0.541589467101217
"chr11_g50757.t1",6.00282,0.541589467101217
"chr23_g22555.t1",57.50382,0.541589467101217
"chr13_g56128.t1",7.56196,0.54207952862215
"chr07_g59603.t1",63.0581,0.542585099300568
"chr10_g42105.t1",16.53181,0.542797594796073
"chr01_g53279.t1",195.0227,0.54787743286942
"chr03_g34284.t1",13.4921,0.54787743286942
"chr04_g30451.t1",101.10968,0.54787743286942
"chr03_g34908.t1",47.22485,0.55072359862463
"chr09_g46992.t1",50.87934,0.55072359862463
"chr12_g24213.t1",208.62121,0.55072359862463
"chr08_g15163.t1",999,0.5588041096597
"chr10_g41718.t1",999,0.5588041096597
"chr08_g6589.t1",175.37743,0.568821198562159
"chr22_g58196.t1",999,0.574679005857819
"chr11_g15062.t1",52.89542,0.576444124747738
"chr23_g42625.t1",54.75706,0.576444124747738
"chr06_g3793.t1",128.72344,0.587103149009242
"chr17_g25980.t1",35.21767,0.587103149009242
"chr08_g3947.t1",9.81125,0.602543526152943
"chr17_g14691.t1",11.65129,0.610242338974718
"chr18_g47600.t1",20.16368,0.614688715728428
"chr20_g25985.t1",184.84062,0.614688715728428
"chr06_g54745.t1",35.73707,0.621413925194379
"chr09_g20269.t1",157.82624,0.640029713963831
"chr19_g7206.t1",85.96169,0.640029713963831
"chr18_g53018.t2",146.10636,0.658062162921936
"chr04_g10020.t1",92.69025,0.66772899734481
"chr04_g3766.t1",999,0.66772899734481
"chr14_g51536.t1",85.28564,0.66772899734481
"chr21_g30238.t1",195.6937,0.66772899734481
"chr14_g23253.t1",8.38686,0.672497391853379
"chr06_g30771.t1",33.05514,0.67470923921012
"chr06_g38449.t1",368.41175,0.67826812386131
"chr01_g6302.t1",412.16998,0.682055220234993
"chr19_g8506.t1",110.33961,0.682055220234993
"chr06_g5888.t1",19.08293,0.682169800229773
"chr09_g49096.t1",999,0.682169800229773
"chr23_g28491.t1",57.14903,0.682169800229773
"chr22_g534.t1",44.7347,0.684519674282458
"chr05_g59772.t1",261.81278,0.690591136965145
"chr07_g29881.t1",110.83381,0.690591136965145
"chr08_g13089.t1",1,0.709807792312672
"chr01_g58254.t1",14.44295,0.716350931568796
"chr10_g25314.t1",999,0.733070860085072
"chr18_g48873.t1",999,0.733070860085072
"chr06_g30855.t1",50.01703,0.742749025052323
"chr03_g36555.t1",10.66404,0.748214661591786
"chr15_g33521.t1",21.77157,0.748214661591786
"chr21_g34504.t1",17.36181,0.7690682840989
"chr01_g54485.t1",67.40066,0.772001226107561
"chr04_g5435.t1",24.95389,0.772001226107561
"chr08_g33862.t1",194.69243,0.772001226107561
"chr18_g16467.t1",7.52378,0.772001226107561
"chr18_g6480.t1",33.73427,0.772001226107561
"chr01_g56767.t1",999,0.775080469379275
"chr02_g46823.t1",178.68571,0.775080469379275
"chr21_g46487.t1",35.64007,0.775080469379275
"chr10_g2384.t1",13.19123,0.78269727947188
"chr17_g3816.t1",2.5256,0.787365443170809
"chr14_g56272.t1",104.17533,0.791306023206343
"chr21_g1330.t1",151.41051,0.791306023206343
"chr03_g14175.t1",999,0.801914978450112
"chr04_g4345.t1",11.01047,0.801914978450112
"chr09_g13605.t1",999,0.801914978450112
"chr12_g61033.t1",31.33042,0.801914978450112
"chr14_g40327.t1",57.53011,0.801914978450112
"chr19_g17798.t1",57.50196,0.801914978450112
"chr18_g23135.t1",24.13143,0.829559893771049
"chr14_g50481.t1",999,0.83047489501266
"chr22_g37253.t1",12.17041,0.835816630959867
"chr03_g5146.t1",62.87986,0.841377348239989
"chr01_g22982.t1",35.10834,0.841455490856439
"chr10_g14775.t1",7.07707,0.841455490856439
"chr15_g1295.t1",109.76219,0.841455490856439
"chr11_g7526.t1",11.15268,0.85322667957828
"chr08_g38618.t1",6.3121,0.853791662555957
"chr05_g26282.t1",40.96725,0.860676629510665
"chr07_g37940.t1",2.46735,0.860676629510665
"chr12_g40586.t1",237.23429,0.867496764277773
"chr14_g44816.t1",50.43599,0.867496764277773
"chr07_g37944.t1",13.33313,0.86992702426222
"chr15_g18063.t1",13.19552,0.86992702426222
"chr03_g12812.t1",70.48217,0.876353679729319
"chr15_g18240.t1",60.01932,0.876353679729319
"chr07_g38346.t1",19.61284,0.876869023599202
"chr11_g24037.t1",21.48201,0.880042706782777
"chr16_g41110.t1",9.08275,0.880785104814787
"chr18_g58664.t1",7.10184,0.884923186742278
"chr07_g59599.t1",93.99963,0.891903631713382
"chr05_g820.t1",1,0.893282010964588
"chr07_g53214.t1",127.2589,0.893282010964588
"chr09_g48128.t1",24.42186,0.936626404028825
"chr14_g42679.t1",27.68639,0.946350184832135
"chr14_g27241.t1",5.44065,0.948602046537445
"chr13_g57632.t1",90.34009,0.949202910622051
"chr16_g43003.t1",5.43302,0.951182757549153
"chr16_g8555.t1",1.78097,0.951182757549153
"chr23_g37181.t1",39.9054,0.951182757549153
"chr02_g25959.t1",160.36857,0.957502843059586
"chr03_g6022.t1",82.42407,0.957502843059586
"chr12_g20702.t1",172.0563,0.962333588803173
"chr21_g45164.t1",12.09244,0.963485968474854
"chr24_g13651.t1",32.61905,0.963485968474854
"chr01_g35873.t1",31.61294,0.966665026198593
"chr02_g4224.t1",107.48914,0.966665026198593
"chr17_g58854.t1",188.03513,0.966665026198593
"chr03_g55369.t1",999,0.975943104519788
"chr06_g15879.t1",23.91653,0.975943104519788
"chr23_g31946.t1",97.87543,0.975943104519788
"chr01_g10122.t1",1.81035,1
"chr01_g10128.t1",1,1
"chr01_g1053.t1",1,1
"chr01_g1058.t1",1,1
"chr01_g1061.t1",1,1
"chr01_g1065.t1",1,1
"chr01_g1066.t1",2.76939,1
"chr01_g1069.t1",1,1
"chr01_g1070.t1",1,1
"chr01_g1071.t1",1,1
"chr01_g1080.t1",1,1
"chr01_g1085.t1",1,1
"chr01_g10879.t1",6.79218,1
"chr01_g1089.t1",1,1
"chr01_g1091.t1",1,1
"chr01_g1093.t1",999,1
"chr01_g11028.t1",1,1
"chr01_g11046.t1",1,1
"chr01_g11197.t1",1,1
"chr01_g1141.t1",6.30114,1
"chr01_g1142.t1",1,1
"chr01_g11432.t1",8.52572,1
"chr01_g1145.t1",1,1
"chr01_g1146.t1",1,1
"chr01_g1151.t1",115.37095,1
"chr01_g1152.t2",1,1
"chr01_g1157.t1",1,1
"chr01_g1158.t1",1.77901,1
"chr01_g1159.t1",1,1
"chr01_g1168.t1",1.70376,1
"chr01_g1169.t1",1,1
"chr01_g1170.t1",4.37544,1
"chr01_g1171.t1",1,1
"chr01_g1172.t1",1,1
"chr01_g1173.t1",1,1
"chr01_g1178.t1",1,1
"chr01_g1179.t1",1,1
"chr01_g1185.t1",1,1
"chr01_g12078.t1",999,1
"chr01_g13295.t1",3.7529,1
"chr01_g13296.t1",1,1
"chr01_g13299.t1",1,1
"chr01_g13311.t1",1,1
"chr01_g13313.t1",5.54693,1
"chr01_g13703.t1",1,1
"chr01_g13704.t1",5.67754,1
"chr01_g13706.t1",1,1
"chr01_g13708.t1",1,1
"chr01_g13711.t1",24.94659,1
"chr01_g13713.t1",150.71345,1
"chr01_g13719.t1",3.36885,1
"chr01_g13721.t1",1,1
"chr01_g13722.t1",1,1
"chr01_g13725.t1",1,1
"chr01_g13727.t1",1,1
"chr01_g13729.t1",1,1
"chr01_g13730.t1",1,1
"chr01_g13736.t1",2.6683,1
"chr01_g13737.t1",1,1
"chr01_g13763.t1",1,1
"chr01_g13770.t1",1,1
"chr01_g13771.t1",1,1
"chr01_g13772.t1",1,1
"chr01_g13776.t1",1,1
"chr01_g13778.t1",1,1
"chr01_g13779.t1",1,1
"chr01_g13780.t1",1,1
"chr01_g13783.t1",1,1
"chr01_g13789.t1",1,1
"chr01_g13792.t1",1,1
"chr01_g13959.t1",1,1
"chr01_g14115.t1",1,1
"chr01_g14116.t1",17.46065,1
"chr01_g14117.t1",1,1
"chr01_g14118.t1",1,1
"chr01_g14121.t1",1,1
"chr01_g14126.t1",1,1
"chr01_g14127.t1",1,1
"chr01_g14195.t1",1,1
"chr01_g14196.t1",1,1
"chr01_g14199.t2",1,1
"chr01_g14202.t1",5.58061,1
"chr01_g14207.t1",2.07968,1
"chr01_g14764.t1",1,1
"chr01_g1480.t1",1,1
"chr01_g1481.t1",1,1
"chr01_g1484.t1",1,1
"chr01_g1487.t1",1,1
"chr01_g1488.t1",1.21026,1
"chr01_g1489.t1",1.41737,1
"chr01_g1496.t1",1,1
"chr01_g1499.t1",1,1
"chr01_g1501.t1",5.14896,1
"chr01_g1503.t1",1,1
"chr01_g1507.t1",1,1
"chr01_g1508.t1",1,1
"chr01_g1509.t1",2.03662,1
"chr01_g1510.t1",2.60892,1
"chr01_g1519.t1",1,1
"chr01_g1527.t1",1,1
"chr01_g1528.t1",1,1
"chr01_g1529.t1",2.32846,1
"chr01_g15429.t1",1,1
"chr01_g15431.t1",6.14915,1
"chr01_g15432.t1",1,1
"chr01_g15433.t1",1,1
"chr01_g1558.t4.Loss.Vert.Bar",8.65884,1
"chr01_g1564.t1",1,1
"chr01_g1571.t1",1,1
"chr01_g1572.t1",1,1
"chr01_g1573.t1",1,1
"chr01_g1579.t1",1,1
"chr01_g1580.t1",1,1
"chr01_g17485.t1",13.95402,1
"chr01_g17486.t1",1,1
"chr01_g1753.t1",1.90521,1
"chr01_g1754.t1",2.47893,1
"chr01_g1755.t1",1,1
"chr01_g1758.t1",1,1
"chr01_g1799.t1",1,1
"chr01_g1802.t1",1,1
"chr01_g1807.t1",1,1
"chr01_g1808.t1",1,1
"chr01_g18352.t1",1,1
"chr01_g19147.t1",1,1
"chr01_g19148.t1",2.63554,1
"chr01_g19157.t1",1,1
"chr01_g19512.t1",1,1
"chr01_g20820.t1",1,1
"chr01_g20827.t1",1,1
"chr01_g20829.t1",1,1
"chr01_g20830.t1",1,1
"chr01_g20831.t1",1,1
"chr01_g20833.t1",1,1
"chr01_g20834.t1",1,1
"chr01_g20835.t1",1,1
"chr01_g20836.t1",1,1
"chr01_g20931.t1",1,1
"chr01_g20934.t1",1,1
"chr01_g20937.t1",1,1
"chr01_g20939.t1",1,1
"chr01_g20940.t1",1,1
"chr01_g21028.t1",1,1
"chr01_g21030.t1",1,1
"chr01_g21033.t1",1,1
"chr01_g21034.t1",1,1
"chr01_g21149.t1",1,1
"chr01_g21152.t1",1,1
"chr01_g21165.t1",1.06767,1
"chr01_g21363.t1",2.65803,1
"chr01_g21369.t1",2.02106,1
"chr01_g21544.t1",1.43007,1
"chr01_g21722.t1",6.34248,1
"chr01_g21727.t1",3.04988,1
"chr01_g21732.t1",1,1
"chr01_g21733.t1",1,1
"chr01_g21736.t1",1,1
"chr01_g21738.t1",999,1
"chr01_g21742.t1",1.73695,1
"chr01_g21744.t1",2.70414,1
"chr01_g21745.t1",1,1
"chr01_g21746.t1",1.06904,1
"chr01_g22192.t1",1,1
"chr01_g22193.t1",2.70422,1
"chr01_g22216.t1",1,1
"chr01_g22217.t1",1,1
"chr01_g22247.t1",1,1
"chr01_g22968.t1",1,1
"chr01_g22970.t1",1,1
"chr01_g22971.t1",1,1
"chr01_g22972.t1",2.59504,1
"chr01_g22974.t1",1,1
"chr01_g22975.t1",1,1
"chr01_g22976.t1",1,1
"chr01_g22979.t1",1,1
"chr01_g22980.t1",1,1
"chr01_g22989.t1",9.55835,1
"chr01_g22992.t1",1,1
"chr01_g23280.t1",1,1
"chr01_g23283.t1",1,1
"chr01_g23287.t1",1,1
"chr01_g23297.t1",1,1
"chr01_g23412.t1",1,1
"chr01_g23414.t1",1,1
"chr01_g23415.t1",1,1
"chr01_g23418.t1",1,1
"chr01_g23420.t1",1,1
"chr01_g23422.t1",1,1
"chr01_g23423.t1",17.11094,1
"chr01_g2361.t1",1,1
"chr01_g23717.t1",1,1
"chr01_g23723.t1",1,1
"chr01_g23923.t1",1,1
"chr01_g23925.t1",1,1
"chr01_g23926.t1",1,1
"chr01_g24214.t1",1,1
"chr01_g24216.t1",1,1
"chr01_g24217.t1",1,1
"chr01_g24219.t1",1,1
"chr01_g24221.t1",1,1
"chr01_g24223.t1",1,1
"chr01_g24227.t1",1,1
"chr01_g24228.t1",1,1
"chr01_g24230.t1",1,1
"chr01_g24231.t1",1,1
"chr01_g24233.t1",1,1
"chr01_g24234.t1",1,1
"chr01_g24388.t1",1,1
"chr01_g24393.t1",18.70771,1
"chr01_g24396.t1",1,1
"chr01_g24397.t1",1,1
"chr01_g24402.t1",1,1
"chr01_g24403.t1",21.65461,1
"chr01_g24407.t1",1,1
"chr01_g24409.t1",1,1
"chr01_g24778.t1",1,1
"chr01_g24820.t1",1,1
"chr01_g24823.t1",1,1
"chr01_g24824.t1",1,1
"chr01_g24829.t1",1,1
"chr01_g24830.t1",1,1
"chr01_g24833.t1",1,1
"chr01_g24900.t1",1,1
"chr01_g24904.t1",8.46856,1
"chr01_g25091.t1",1,1
"chr01_g25102.t1",1,1
"chr01_g25103.t1",1,1
"chr01_g25288.t1",13.83104,1
"chr01_g25539.t1",8.81771,1
"chr01_g25794.t1",1,1
"chr01_g25821.t2",1,1
"chr01_g25891.t1",2.96499,1
"chr01_g25915.t1",4.53671,1
"chr01_g25986.t1",1,1
"chr01_g25987.t1",3.01297,1
"chr01_g25988.t1",1,1
"chr01_g25989.t1",1,1
"chr01_g25990.t1",1,1
"chr01_g25991.t1",2.32269,1
"chr01_g2615.t1",1,1
"chr01_g2616.t1",3.40615,1
"chr01_g2621.t1",1.04978,1
"chr01_g2622.t1",1,1
"chr01_g26224.t1",1,1
"chr01_g26225.t1",1,1
"chr01_g26226.t1",1,1
"chr01_g26227.t1",1,1
"chr01_g26229.t1",1,1
"chr01_g26230.t1",1.81382,1
"chr01_g26246.t1",605.76879,1
"chr01_g26255.t1",1,1
"chr01_g26263.t1",1.40646,1
"chr01_g26264.t1",1,1
"chr01_g26265.t1",1,1
"chr01_g26266.t1",1,1
"chr01_g26267.t1",7.98701,1
"chr01_g26269.t1",1,1
"chr01_g26271.t1",1,1
"chr01_g26274.t1",1,1
"chr01_g26881.t1",3.62588,1
"chr01_g26888.t1",1,1
"chr01_g26915.t1",1,1
"chr01_g27010.t1",1,1
"chr01_g27017.t1",1,1
"chr01_g27019.t1",1,1
"chr01_g27028.t1",1,1
"chr01_g27856.t1",1,1
"chr01_g27859.t1",1,1
"chr01_g28168.t1",1,1
"chr01_g28895.t1",1,1
"chr01_g29173.t1",1,1
"chr01_g29330.t1",1,1
"chr01_g29375.t1",1,1
"chr01_g2987.t1",1,1
"chr01_g2989.t1",1.86519,1
"chr01_g29908.t1",1,1
"chr01_g2991.t1",1,1
"chr01_g2992.t1",1,1
"chr01_g2993.t1",1,1
"chr01_g2994.t1",1,1
"chr01_g2995.t1",1,1
"chr01_g2996.t1",1,1
"chr01_g2998.t1",1,1
"chr01_g3018.t1",1.32499,1
"chr01_g3022.t1",1,1
"chr01_g3023.t1",1,1
"chr01_g30371.t1",1,1
"chr01_g30374.t1",1,1
"chr01_g30421.t1",1.89909,1
"chr01_g30422.t1",3.08653,1
"chr01_g30423.t1",1,1
"chr01_g30424.t1",1,1
"chr01_g30425.t1",1,1
"chr01_g30426.t1",1,1
"chr01_g30427.t1",11.12963,1
"chr01_g30428.t1",1,1
"chr01_g30430.t1",1,1
"chr01_g30431.t1",1,1
"chr01_g30432.t1",1,1
"chr01_g30709.t1",1,1
"chr01_g30754.t1",1,1
"chr01_g30756.t1",1,1
"chr01_g30758.t1",1,1
"chr01_g30879.t1",1,1
"chr01_g30986.t1",1,1
"chr01_g30987.t1",1,1
"chr01_g30988.t1",1,1
"chr01_g30989.t1",1,1
"chr01_g30990.t1",1,1
"chr01_g30991.t1",1,1
"chr01_g30993.t1",1,1
"chr01_g31033.t1",1,1
"chr01_g3133.t1",1,1
"chr01_g31373.t1",1,1
"chr01_g31374.t1",11.99394,1
"chr01_g31376.t1",1,1
"chr01_g31382.t1",1.72838,1
"chr01_g31970.t1",1,1
"chr01_g32259.t1",1,1
"chr01_g32441.t1",5.56048,1
"chr01_g32677.t1",1,1
"chr01_g32687.t1",1,1
"chr01_g32781.t1",1,1
"chr01_g32782.t1",1,1
"chr01_g32784.t1",1,1
"chr01_g32786.t1",12.88704,1
"chr01_g32822.t1",1,1
"chr01_g32945.t1",1.20392,1
"chr01_g32946.t1",1.43003,1
"chr01_g32951.t1",1,1
"chr01_g32953.t1",1,1
"chr01_g32955.t1",1,1
"chr01_g33321.t1",1,1
"chr01_g33322.t1",1.55509,1
"chr01_g33323.t1",1,1
"chr01_g33324.t1",1,1
"chr01_g33328.t1",1,1
"chr01_g33332.t1",1,1
"chr01_g33334.t1",1,1
"chr01_g33400.t1",1,1
"chr01_g33402.t1",1,1
"chr01_g33403.t1",1,1
"chr01_g33405.t1",1,1
