gene,logL_H0,logL_H1,logL_M1a,tree_length_H0,tree_length_H1,tree_length_M1a,foreground_w_H0,foreground_w_H1,foreground_w_M1a,LRT_H1,p_value_H1
chr01_g1501.t1.Gain.Vert.Bar,-2907.219183,-2906.531044,-2911.937935,1.3351,1.33577,1.33301,1.0,3.36687,1.0,1.3762780000006387,0.24073615810816848
chr01_g1503.t1.Gain.Vert.Bar,-2441.185417,-2441.185056,-2442.178866,0.30579,0.30579,0.30704,1.0,1.0,1.0,0.0007220000006782357,0.9785633753866476
chr01_g1507.t1.Gain.Vert.Bar,-897.399475,-898.282207,-897.399496,0.15875,0.15866,0.15876,1.0,1.0,1.0,-1.765463999999838,1.0
chr01_g1508.t1.Gain.Vert.Bar,-9562.392925,-9562.254669,-9562.943103,0.2425,0.2426,0.24255,1.0,2.28763,1.0,0.27651200000036624,0.5989965425051282
chr01_g1509.t1.Gain.Vert.Bar,-3694.193092,-3693.64346,-3694.236912,0.2694,0.26967,0.26941,1.0,8.02701,1.0,1.099264000000403,0.2944276822770857
chr01_g1510.t1.Gain.Vert.Bar,-2880.155699,-2880.155699,-2881.165363,0.22918,0.22918,0.22981,1.0,1.0,1.0,0.0,1.0
chr01_g1519.t1.Gain.Vert.Bar,-4013.751433,-4013.751385,-4013.751388,0.1321,0.1321,0.13212,1.0,1.0116,1.0,9.59999997576233e-05,0.9921824848998635
chr01_g1527.t1.Gain.Vert.Bar,-1382.816973,-1382.816973,-1383.317511,0.23636,0.23635,0.23619,1.0,1.0,1.0,0.0,1.0
chr01_g1528.t1.Gain.Vert.Bar,-1943.350969,-1943.316683,-1944.168822,0.2177,0.21771,0.21708,1.0,1.77791,1.0,0.06857200000013108,0.7934274058999948
chr01_g1529.t1.Gain.Vert.Bar,-3753.783238,-3753.783239,-3753.783237,0.23296,0.23295,0.23294,1.0,1.0,1.0,-1.99999976757681e-06,1.0
chr01_g1558.t4.Gain.Vert.Bar,-5270.466124,-5270.465931,-5270.46586,0.0477,0.04771,0.04771,1.0,1.0,1.0,0.0003859999997075647,0.9843250640555669
chr01_g1564.t1.Gain.Vert.Bar,-2528.80446,-2528.80446,-2529.086723,0.1948,0.1948,0.19486,1.0,1.0,1.0,0.0,1.0
chr01_g1571.t1.Gain.Vert.Bar,-2120.449574,-2120.442466,-2125.383174,0.67712,0.67735,0.67858,1.0,1.18327,1.0,0.014216000000487838,0.9050924515604611
chr01_g1572.t1.Gain.Vert.Bar,-1163.003457,-1163.003457,-1163.003457,0.33645,0.33645,0.33645,1.0,1.0,1.0,0.0,1.0
chr01_g1573.t1.Gain.Vert.Bar,-1079.03446,-1079.034217,-1079.034217,0.31251,0.31251,0.31251,1.0,1.0,1.0,0.0004860000003645837,0.9824117342259642
chr01_g1579.t1.Gain.Vert.Bar,-4656.717756,-4656.533248,-4657.525224,0.36783,0.36796,0.36761,1.0,2.95929,1.0,0.36901600000055623,0.5435411215569909
chr01_g1580.t1.Gain.Vert.Bar,-2615.607472,-2615.606097,-2615.605888,0.40271,0.40271,0.40272,1.0,1.0,1.0,0.0027500000005602487,0.9581777500454759
chr01_g1753.t1.Gain.Vert.Bar,-4164.853716,-4164.853715,-4164.853715,0.26543,0.26544,0.26544,1.0,1.0,1.0,1.999998858082108e-06,0.9988716215311596
chr01_g1754.t1.Gain.Vert.Bar,-6767.973682,-6766.387599,-6768.826463,0.27681,0.27773,0.2769,1.0,7.14069,1.0,3.1721660000002885,0.07490304943408897
chr01_g1755.t1.Gain.Vert.Bar,-830.843999,-830.843865,-830.844234,0.11551,0.1155,0.1155,1.0,1.0,1.0,0.00026800000000548607,0.9869386502066255
chr01_g1758.t1.Gain.Vert.Bar,-2376.493223,-2376.493223,-2378.100134,0.22475,0.22475,0.22471,1.0,1.0,1.0,0.0,1.0
chr01_g1799.t1.Gain.Vert.Bar,-6947.369913,-6946.565529,-6949.3256,1.12535,1.12635,1.12603,1.0,3.22274,1.0,1.6087680000000546,0.2046650698222872
chr01_g1802.t1.Gain.Vert.Bar,-3991.52342,-3990.66081,-3993.339372,0.58404,0.58514,0.58299,1.0,3.39497,1.0,1.725220000000263,0.18902250067048829
chr01_g1807.t1.Gain.Vert.Bar,-4016.698379,-4016.698583,-4018.415242,0.27238,0.27235,0.27239,1.0,1.0,1.0,-0.0004079999998793937,1.0
chr01_g1808.t1.Gain.Vert.Bar,-2354.681993,-2353.301932,-2354.765624,0.37467,0.37691,0.3751,1.0,23.07699,1.0,2.7601220000005924,0.09664086725385737
chr01_g2361.t1.Gain.Vert.Bar,-5012.340521,-5011.382061,-5012.340726,0.18457,0.18456,0.18454,1.0,15.73636,1.0,1.9169199999996636,0.16619659561891842
chr01_g2615.t1.Gain.Vert.Bar,-5402.440891,-5402.440814,-5402.440812,0.18309,0.18311,0.18312,1.0,1.0,1.0,0.0001540000012028031,0.9900987670868934
chr01_g2616.t1.Gain.Vert.Bar,-2249.418025,-2249.418005,-2249.418305,0.28021,0.28021,0.28022,1.0,1.0,1.0,3.999999989900971e-05,0.994953768603895
chr01_g2621.t1.Gain.Vert.Bar,-965.552158,-965.552256,-966.710003,0.1797,0.1797,0.17954,1.0,1.0,1.0,-0.0001960000001872686,1.0
chr01_g2622.t1.Gain.Vert.Bar,-6423.75446,-6423.754466,-6423.779126,0.21902,0.21904,0.21904,1.0,1.0,1.0,-1.2000000424450263e-05,1.0
chr01_g2987.t1.Gain.Vert.Bar,-1331.120064,-1329.931697,-1329.931697,0.44111,0.44129,0.44129,1.0,1.0,1.0,2.376733999999942,0.12315478254126723
chr01_g2989.t1.Gain.Vert.Bar,-2295.222313,-2294.959176,-2298.625911,1.28619,1.28729,1.29171,1.0,1.75654,1.0,0.5262740000007398,0.46817757344122723
chr01_g2991.t1.Gain.Vert.Bar,-6433.239992,-6433.239995,-6433.239994,0.2728,0.27281,0.27281,1.0,1.0,1.0,-6.000000212225132e-06,1.0
chr01_g2992.t1.Gain.Vert.Bar,-6363.724346,-6363.724346,-6363.75394,0.34006,0.34006,0.34011,1.0,1.0,1.0,0.0,1.0
chr01_g2993.t1.Gain.Vert.Bar,-2281.852227,-2281.852184,-2281.85218,0.22546,0.22545,0.22546,1.0,1.0,1.0,8.600000001024455e-05,0.9926008290341632
chr01_g2994.t1.Gain.Vert.Bar,-2312.601524,-2312.601524,-2312.60635,0.26869,0.26869,0.26869,1.0,1.0,1.0,0.0,1.0
chr01_g2995.t1.Gain.Vert.Bar,-1833.75775,-1832.172748,-1834.466893,0.38072,0.38608,0.38116,1.0,12.81069,1.0,3.1700040000000627,0.07500226264289485
chr01_g2996.t1.Gain.Vert.Bar,-1624.418554,-1624.405993,-1626.467472,0.36447,0.36445,0.36361,1.0,1.17187,1.0,0.025122000000010303,0.8740634420560616
chr01_g2998.t1.Gain.Vert.Bar,-2295.612027,-2295.612027,-2295.968554,0.19948,0.19949,0.19918,1.0,1.0,1.0,0.0,1.0
chr01_g3018.t1.Gain.Vert.Bar,-1680.3998,-1680.105166,-1681.865497,0.16773,0.1677,0.16837,1.0,69.86886,1.0,0.5892679999997199,0.44270231824439865
chr01_g3022.t1.Gain.Vert.Bar,-3598.856673,-3598.205444,-3599.811144,0.33095,0.33128,0.33087,1.0,6.94273,1.0,1.3024579999992056,0.25376472932452854
chr01_g3023.t1.Gain.Vert.Bar,-1163.298139,-1163.298448,-1164.116043,0.18314,0.18315,0.18306,1.0,1.0,1.0,-0.0006180000000313157,1.0
chr01_g3133.t1.Gain.Vert.Bar,-1759.275376,-1759.275376,-1759.425415,0.1561,0.1561,0.15623,1.0,1.0,1.0,0.0,1.0
chr01_g3427.t1.Gain.Vert.Bar,-3289.426694,-3289.426694,-3290.348383,0.34342,0.34342,0.34371,1.0,1.0,1.0,0.0,1.0
chr01_g3429.t1.Gain.Vert.Bar,-3475.337055,-3475.139401,-3475.556335,0.36536,0.36534,0.36557,1.0,1.0,1.0,0.3953080000001137,0.5295224042281711
chr01_g3431.t1.Gain.Vert.Bar,-3608.299749,-3608.28314,-3608.356347,0.74303,0.74302,0.74304,1.0,3.00769,1.0,0.03321799999957875,0.8553802115727465
chr01_g3432.t1.Gain.Vert.Bar,-4254.569667,-4254.569666,-4256.026356,0.27566,0.27565,0.27583,1.0,1.0,1.0,1.999998858082108e-06,0.9988716215311596
chr01_g3502.t1.Gain.Vert.Bar,-3614.411654,-3606.430944,-3615.099472,0.42045,0.42904,0.42084,1.0,10.38514,1.0,15.961419999999634,6.464659546504635e-05
chr01_g3503.t1.Gain.Vert.Bar,-3987.499736,-3987.499736,-3988.602109,0.40346,0.40345,0.40388,1.0,1.0,1.0,0.0,1.0
chr01_g3505.t1.Gain.Vert.Bar,-1606.63695,-1606.410798,-1607.238078,0.18105,0.18104,0.18103,1.0,1.0,1.0,0.4523039999999128,0.5012428474141338
chr01_g3506.t1.Gain.Vert.Bar,-1974.816748,-1974.816748,-1974.816748,0.27646,0.27645,0.27646,1.0,1.59769,1.0,0.0,1.0
chr01_g3507.t1.Gain.Vert.Bar,-3130.49979,-3130.49979,-3131.332248,0.17956,0.17956,0.17958,1.0,1.0,1.0,0.0,1.0
chr01_g3515.t1.Gain.Vert.Bar,-3438.333159,-3438.333159,-3438.519705,0.25956,0.25956,0.25952,1.0,1.0,1.0,0.0,1.0
chr01_g3651.t1.Gain.Vert.Bar,-4010.88588,-4010.88588,-4010.898857,0.27042,0.27042,0.27047,1.0,1.0,1.0,0.0,1.0
chr01_g3652.t1.Gain.Vert.Bar,-765.325336,-765.126417,-768.417842,0.119,0.11898,0.1189,1.0,110.91645,1.0,0.3978380000000925,0.5282079211179436
chr01_g4002.t1.Gain.Vert.Bar,-1066.285084,-1065.802224,-1067.949076,0.18072,0.18053,0.18044,1.0,134.42879,1.0,0.9657200000001467,0.3257499231339791
chr01_g4004.t1.Gain.Vert.Bar,-1181.943892,-1181.920871,-1182.224157,0.242,0.24233,0.243,1.0,2.00462,1.0,0.04604199999994307,0.8300994694427666
chr01_g4013.t1.Gain.Vert.Bar,-1761.373107,-1761.373076,-1761.37316,0.09564,0.09564,0.09564,1.0,1.0,1.0,6.199999961609137e-05,0.9937175156242087
chr01_g4015.t1.Gain.Vert.Bar,-1358.976973,-1358.976973,-1359.426129,0.27226,0.27226,0.27216,1.0,1.0,1.0,0.0,1.0
chr01_g4016.t1.Gain.Vert.Bar,-1895.416927,-1895.416927,-1896.815595,0.20155,0.20155,0.20189,1.0,1.0,1.0,0.0,1.0
chr01_g4017.t1.Gain.Vert.Bar,-4578.997675,-4578.997675,-4579.019864,0.2443,0.2443,0.24435,1.0,1.0,1.0,0.0,1.0
chr01_g4019.t1.Gain.Vert.Bar,-2244.338377,-2244.506622,-2244.338377,0.1558,0.1558,0.1558,1.0,1.0,1.0,-0.3364899999996851,1.0
chr01_g4020.t1.Gain.Vert.Bar,-1723.882312,-1723.882312,-1727.08439,0.23244,0.23244,0.23374,1.0,1.0,1.0,0.0,1.0
chr01_g4021.t1.Gain.Vert.Bar,-3561.073407,-3560.588003,-3563.527732,0.15588,0.1563,0.15598,1.0,6.65049,1.0,0.9708080000000336,0.32447874868872795
chr01_g4022.t1.Gain.Vert.Bar,-810.355447,-810.355447,-810.355447,0.12463,0.12462,0.12463,1.0,1.0,1.0,0.0,1.0
chr01_g4023.t1.Gain.Vert.Bar,-2441.083719,-2441.083719,-2441.100266,0.30195,0.30195,0.30193,1.0,1.0,1.0,0.0,1.0
chr01_g4024.t1.Gain.Vert.Bar,-599.946145,-599.946114,-599.946079,0.13813,0.13813,0.13813,1.0,1.0,1.0,6.200000007083872e-05,0.9937175156011693
chr01_g4204.t1.Gain.Vert.Bar,-4806.007102,-4805.932198,-4806.557072,0.29705,0.29715,0.29699,1.0,2.57244,1.0,0.14980799999830197,0.6987189079159362
chr01_g4211.t1.Gain.Vert.Bar,-3613.847089,-3613.847089,-3613.847088,0.1686,0.16859,0.1686,1.0,1.0,1.0,0.0,1.0
chr01_g5162.t1.Gain.Vert.Bar,-3322.630101,-3322.630101,-3322.907305,0.24296,0.24296,0.24298,1.0,1.0,1.0,0.0,1.0
chr01_g5164.t1.Gain.Vert.Bar,-2102.963335,-2102.963213,-2104.08861,0.2721,0.2721,0.27287,1.0,1.0,1.0,0.00024399999983870657,0.98753715156384
chr01_g5669.t1.Gain.Vert.Bar,-6001.462499,-6001.2204,-6001.577171,0.26864,0.26882,0.26867,1.0,7.01653,1.0,0.4841980000001058,0.4865269232550168
chr01_g5670.t1.Gain.Vert.Bar,-2329.162908,-2328.603951,-2328.60395,0.16199,0.16198,0.16198,1.0,1.0,1.0,1.1179139999994732,0.29036806744797417
chr01_g5678.t1.Gain.Vert.Bar,-3653.063164,-3653.063164,-3653.063318,0.14954,0.14954,0.14969,1.0,1.0,1.0,0.0,1.0
chr01_g5906.t1.Gain.Vert.Bar,-6858.942382,-6856.890587,-6869.084525,0.72179,0.72599,0.72634,1.0,3.35141,1.0,4.103590000000622,0.042792259032017374
chr01_g6299.t1.Gain.Vert.Bar,-733.755083,-732.310357,-733.93619,0.29937,0.29836,0.30008,1.0,999.0,1.0,2.8894520000001194,0.08916124810516657
chr01_g6300.t1.Gain.Vert.Bar,-4544.909549,-4544.909549,-4549.888361,2.7874,2.78741,2.79236,1.0,1.0,1.0,0.0,1.0
chr01_g6302.t1.Gain.Vert.Bar,-5868.564518,-5868.562801,-5868.562786,0.30006,0.30005,0.30005,1.0,1.0,1.0,0.003434000000197557,0.9532704388356806
chr01_g6304.t1.Gain.Vert.Bar,-1513.808296,-1513.808295,-1513.808294,0.41083,0.41083,0.41083,1.0,1.0,1.0,1.99999976757681e-06,0.998871621274596
chr01_g6382.t1.Gain.Vert.Bar,-2244.10267,-2243.942932,-2244.678205,0.30963,0.30995,0.31023,1.0,2.58631,1.0,0.3194760000005772,0.5719227200268218
chr01_g6383.t1.Gain.Vert.Bar,-1441.126801,-1441.728678,-1441.728678,0.17144,0.17142,0.17142,1.0,1.0,1.0,-1.2037540000001172,1.0
chr01_g6386.t1.Gain.Vert.Bar,-1332.543769,-1332.543769,-1332.543769,0.30794,0.30794,0.30794,1.0,1.0,1.0,0.0,1.0
chr01_g6389.t1.Gain.Vert.Bar,-3255.733413,-3255.733436,-3255.733436,0.19926,0.19928,0.19928,1.0,1.0,1.0,-4.600000011123484e-05,1.0
chr01_g6393.t1.Gain.Vert.Bar,-7331.645619,-7331.450909,-7331.645619,0.26124,0.26134,0.26124,1.0,3.50355,1.0,0.38941999999951804,0.5326044319667725
chr01_g6396.t1.Gain.Vert.Bar,-444.406586,-441.691135,-444.496536,0.32223,0.32964,0.32181,1.0,999.0,1.0,5.43090200000006,0.019783458208412246
chr01_g6439.t1.Gain.Vert.Bar,-1402.234288,-1402.234483,-1402.234348,0.24397,0.24397,0.24397,1.0,1.0,1.0,-0.0003899999996974657,1.0
chr01_g6496.t1.Gain.Vert.Bar,-7901.828141,-7901.828071,-7901.828144,0.24838,0.24839,0.24839,1.0,1.0,1.0,0.00014000000010128133,0.9905595228360734
chr01_g6497.t1.Gain.Vert.Bar,-2667.13336,-2667.13336,-2667.722058,0.25051,0.25051,0.25043,1.0,1.0,1.0,0.0,1.0
chr01_g6498.t1.Gain.Vert.Bar,-2999.295361,-2999.29536,-2999.295361,0.2719,0.27189,0.2719,1.0,1.0,1.0,1.99999976757681e-06,0.998871621274596
chr01_g6499.t1.Gain.Vert.Bar,-1204.989964,-1204.989964,-1206.113398,0.26732,0.26732,0.26554,1.0,1.0,1.0,0.0,1.0
chr01_g6500.t1.Gain.Vert.Bar,-1285.579241,-1280.996205,-1285.912028,0.54957,0.55667,0.54924,1.0,21.00868,1.0,9.166071999999986,0.0024654317261866157
chr01_g6565.t1.Gain.Vert.Bar,-7565.27438,-7564.628007,-7566.968307,1.76953,1.77163,1.76869,1.0,4.15524,1.0,1.2927459999991697,0.2555425139127802
chr01_g6788.t1.Gain.Vert.Bar,-2670.657568,-2670.657568,-2670.660401,0.37175,0.37175,0.37175,1.0,1.0,1.0,0.0,1.0
chr01_g6792.t1.Gain.Vert.Bar,-980.109625,-979.412659,-980.57614,0.70211,0.70245,0.69949,1.0,3.26227,1.0,1.3939320000001771,0.2377421997131976
chr01_g7016.t1.Gain.Vert.Bar,-4739.836844,-4731.022004,-4739.888145,1.05738,1.07715,1.05782,1.0,48.09751,1.0,17.629680000000008,2.6836725140707638e-05
chr01_g7072.t1.Gain.Vert.Bar,-3815.450926,-3813.783305,-3820.207481,0.80548,0.8084,0.80444,1.0,4.36012,1.0,3.3352420000001075,0.06781043083779273
chr01_g7084.t1.Gain.Vert.Bar,-5155.137847,-5155.137847,-5155.137847,0.29692,0.29692,0.29693,1.0,1.0,1.0,0.0,1.0
chr01_g7318.t1.Gain.Vert.Bar,-2524.988638,-2524.983133,-2525.257077,0.22209,0.2221,0.22185,1.0,1.30984,1.0,0.01100999999925989,0.9164325066791722
chr01_g7319.t1.Gain.Vert.Bar,-3746.205864,-3731.984256,-3746.20586,0.34701,0.38549,0.34702,1.0,457.81049,1.0,28.443215999999666,9.648727024444384e-08
chr01_g7320.t1.Gain.Vert.Bar,-2705.679155,-2705.679156,-2705.679156,0.2576,0.25761,0.25761,1.0,1.0,1.0,-2.0000006770715117e-06,1.0
chr01_g7321.t1.Gain.Vert.Bar,-5346.520112,-5346.520112,-5346.549828,0.2134,0.21339,0.21344,1.0,1.0,1.0,0.0,1.0
chr01_g7322.t1.Gain.Vert.Bar,-1656.937971,-1656.937971,-1657.162342,0.409,0.409,0.40895,1.0,1.0,1.0,0.0,1.0
chr01_g7348.t1.Gain.Vert.Bar,-682.717638,-682.022539,-682.717676,0.29486,0.29499,0.29486,1.0,1.0,1.0,1.3901979999998275,0.23837166502123686
chr01_g7350.t1.Gain.Vert.Bar,-1322.690489,-1322.466795,-1325.224013,0.24128,0.24497,0.24092,1.0,68.07586,1.0,0.4473880000000463,0.5035779685078362
chr01_g7351.t1.Gain.Vert.Bar,-1165.147147,-1165.301112,-1166.059149,0.21546,0.21537,0.21412,1.0,1.0,1.0,-0.30793000000039683,1.0
chr01_g7369.t1.Gain.Vert.Bar,-977.307465,-977.032437,-978.359296,0.05026,0.05021,0.05018,1.0,78.34271,1.0,0.5500560000000405,0.4582948134686643
chr01_g7373.t1.Gain.Vert.Bar,-2033.840443,-2033.840443,-2034.02778,0.14654,0.14654,0.14644,1.0,1.0,1.0,0.0,1.0
chr01_g7374.t1.Gain.Vert.Bar,-1216.807704,-1216.807703,-1216.807703,0.23401,0.23401,0.23401,1.0,1.0,1.0,2.000000222324161e-06,0.9988716211463143
chr01_g7375.t1.Gain.Vert.Bar,-756.08822,-754.765851,-756.103401,0.42248,0.41972,0.42305,1.0,235.69816,1.0,2.644737999999961,0.10389328414081278
chr01_g7689.t1.Gain.Vert.Bar,-1397.555072,-1393.219127,-1399.342503,0.33052,0.34449,0.33025,1.0,92.5072,1.0,8.671890000000076,0.0032315586595151632
chr01_g7785.t1.Gain.Vert.Bar,-433.997445,-433.997445,-433.997445,0.27695,0.27695,0.27695,1.0,1.0,1.0,0.0,1.0
chr01_g7916.t1.Gain.Vert.Bar,-5099.878443,-5099.866886,-5099.860217,0.1701,0.17009,0.17013,1.0,2.14639,1.0,0.023113999999623047,0.8791609937730711
chr01_g7958.t1.Gain.Vert.Bar,-4946.463922,-4942.681756,-4947.767935,0.62291,0.62642,0.6226,1.0,11.94303,1.0,7.564331999999922,0.0059534716444238425
chr01_g8081.t1.Gain.Vert.Bar,-4307.318082,-4307.318082,-4308.594059,0.21384,0.21383,0.21406,1.0,1.0,1.0,0.0,1.0
chr01_g8082.t1.Gain.Vert.Bar,-6550.339135,-6550.339142,-6550.373265,0.24551,0.24552,0.24553,1.0,1.0,1.0,-1.3999999282532372e-05,1.0
chr01_g8123.t1.Gain.Vert.Bar,-3926.319396,-3925.772452,-3926.336286,1.44443,1.44742,1.4444,1.0,8.27438,1.0,1.0938879999994242,0.29561135652773773
