gene,logL_H0_run1,logL_H0_run2,logL_H0_run3,best_logL_H0,best_run_H0,logL_H1_run1,logL_H1_run2,logL_H1_run3,best_logL_H1,best_run_H1,foreground_w_H1_run1,foreground_w_H1_run2,foreground_w_H1_run3,best_foreground_w_H1,LRT,p_value
chr01_g1158.t1.Gain.Vert.Bar,-2284.286453,-2284.286453,-2284.286453,-2284.286453,1,-2284.215371,-2284.215371,-2284.215371,-2284.215371,1,1.91569,1.91566,1.91564,1.91569,0.14216400000077556,0.7061391109327289
chr01_g1159.t1.Gain.Vert.Bar,-4780.990257,-4780.990257,-4780.990257,-4780.990257,1,-4780.724316,-4780.724315,-4780.724316,-4780.724315,2,1.85692,1.85704,1.85692,1.85704,0.5318839999999909,0.4658158620388022
chr01_g1168.t1.Gain.Vert.Bar,-6278.810635,-6278.810767,-6278.810635,-6278.810635,1,-6278.810635,-6278.810635,-6278.810636,-6278.810635,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g1169.t1.Gain.Vert.Bar,-1226.185465,-1226.185461,-1226.185434,-1226.185434,3,-1226.153271,-1226.153243,-1226.153264,-1226.153243,2,3.4922,3.49202,3.49184,3.49202,0.06438200000002325,0.7996994556043517
chr01_g1170.t1.Gain.Vert.Bar,-840.729723,-840.729723,-840.729723,-840.729723,1,-840.516467,-840.51655,-840.516467,-840.516467,1,2.15143,2.15143,2.15143,2.15143,0.42651200000000244,0.5137054387952934
chr01_g1171.t1.Gain.Vert.Bar,-4441.282619,-4441.232327,-4441.282619,-4441.232327,2,-4441.232329,-4441.23233,-4441.232327,-4441.232327,3,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g1172.t1.Gain.Vert.Bar,-5434.414546,-5434.414545,-5434.414545,-5434.414545,2,-5434.414546,-5434.414556,-5434.414545,-5434.414545,3,1.0,1.00015,1.0,1.0,0.0,1.0
chr01_g1173.t1.Gain.Vert.Bar,-6424.68746,-6424.794408,-6424.794408,-6424.68746,1,-6424.687387,-6424.794408,-6424.794407,-6424.687387,1,1.0,1.0,1.0,1.0,0.00014600000031350646,0.9903593587493551
chr01_g1178.t1.Gain.Vert.Bar,-858.492269,-858.492114,-858.492202,-858.492114,2,-858.492193,-858.492287,-858.492184,-858.492184,3,1.0,1.0,1.0,1.0,-0.00013999999987390765,1.0
chr01_g1179.t1.Gain.Vert.Bar,-3952.679568,-3952.679808,-3952.679566,-3952.679566,3,-3947.245973,-3947.245973,-3947.245973,-3947.245973,1,80.42792,80.4354,80.42998,80.42792,10.867185999999492,0.000978831449522209
chr01_g1185.t1.Gain.Vert.Bar,-1750.563141,-1750.563156,-1750.563176,-1750.563141,1,-1751.522397,-1750.563314,-1751.178453,-1750.563314,2,1.0,1.0,1.0,1.0,-0.000345999999808555,1.0
chr01_g12078.t1.Gain.Vert.Bar,-916.984285,-916.984222,-916.984226,-916.984222,2,-916.984222,-916.984339,-916.984345,-916.984222,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g13295.t1.Gain.Vert.Bar,-4140.265686,-4140.265686,-4140.265686,-4140.265686,1,-4140.265686,-4140.265686,-4140.265686,-4140.265686,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g13296.t1.Gain.Vert.Bar,-1746.416172,-1746.416172,-1746.416172,-1746.416172,1,-1746.416264,-1746.416322,-1746.416172,-1746.416172,3,13.4299,16.27692,1.0,1.0,0.0,1.0
chr01_g13299.t1.Gain.Vert.Bar,-4755.101229,-4755.101229,-4755.101231,-4755.101229,1,-4755.101222,-4755.101221,-4755.101231,-4755.101221,2,1.0,1.0,1.0,1.0,1.5999999959603883e-05,0.9968084702715656
chr01_g13311.t1.Gain.Vert.Bar,-4788.305825,-4788.305826,-4788.305826,-4788.305825,1,-4788.305821,-4788.305827,-4788.305826,-4788.305821,1,1.0,1.0,1.0,1.0,8.000000889296643e-06,0.997743244549384
chr01_g13313.t1.Gain.Vert.Bar,-4317.507669,-4317.507823,-4317.50775,-4317.507669,1,-4317.507669,-4317.508497,-4317.507669,-4317.507669,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g13703.t1.Gain.Vert.Bar,-5787.953066,-5787.952863,-5787.95286,-5787.95286,3,-5787.95299,-5787.952876,-5787.954277,-5787.952876,2,1.0,1.0,1.0,1.0,-3.199999991920777e-05,1.0
chr01_g13704.t1.Gain.Vert.Bar,-4180.728666,-4180.728666,-4180.728666,-4180.728666,1,-4176.918002,-4176.918002,-4176.918002,-4176.918002,1,5.21732,5.21733,5.21733,5.21732,7.6213279999992665,0.005768199617991782
chr01_g13706.t1.Gain.Vert.Bar,-2226.955794,-2226.955719,-2226.955917,-2226.955719,2,-2226.955963,-2226.955703,-2226.955697,-2226.955697,3,1.0,1.0,1.0,1.0,4.400000034365803e-05,0.9947074713628357
chr01_g13708.t1.Gain.Vert.Bar,-3038.000506,-3038.000506,-3038.000506,-3038.000506,1,-3038.000505,-3038.000505,-3038.000506,-3038.000505,1,1.0,1.0,1.0,1.0,1.99999976757681e-06,0.998871621274596
chr01_g13711.t1.Gain.Vert.Bar,-5725.851742,-5725.851857,-5725.865415,-5725.851742,1,-5722.097571,-5722.097564,-5722.097565,-5722.097564,2,62.95705,62.97491,62.95572,62.97491,7.508356000000276,0.006141340136037852
chr01_g13713.t1.Gain.Vert.Bar,-12641.790084,-12641.790751,-12641.790766,-12641.790084,1,-12638.80373,-12638.803294,-12638.803154,-12638.803154,3,118.22087,118.22688,118.28664,118.28664,5.973860000001878,0.014519464350693762
chr01_g13719.t1.Gain.Vert.Bar,-3330.728602,-3330.728602,-3330.728707,-3330.728602,1,-3330.07704,-3330.07704,-3330.07704,-3330.07704,1,6.15495,6.15474,6.15443,6.15495,1.3031240000000253,0.2536433766204351
chr01_g13721.t1.Gain.Vert.Bar,-2152.213351,-2152.213351,-2152.059201,-2152.059201,3,-2152.213351,-2152.213351,-2152.213351,-2152.213351,1,1.0,1.0,1.0,1.0,-0.30829999999969004,1.0
chr01_g13722.t1.Gain.Vert.Bar,-933.349424,-933.349424,-933.349424,-933.349424,1,-933.349445,-933.349448,-933.349568,-933.349445,1,1.0,1.0,1.0,1.0,-4.1999999893960194e-05,1.0
chr01_g13725.t1.Gain.Vert.Bar,-6066.443747,-6066.442962,-6066.442911,-6066.442911,3,-6066.442903,-6066.442912,-6066.442919,-6066.442903,1,1.0,1.0,1.0,1.0,1.5999999959603883e-05,0.9968084702715656
chr01_g13727.t1.Gain.Vert.Bar,-4956.123225,-4956.12391,-4956.122479,-4956.122479,3,-4956.12248,-4956.124918,-4956.122559,-4956.12248,1,1.0,1.0,1.0,1.0,-2.0000006770715117e-06,1.0
chr01_g13729.t1.Gain.Vert.Bar,-2390.482499,-2389.379448,-2389.379448,-2389.379448,2,-2389.378577,-2389.378577,-2389.378577,-2389.378577,1,1.10625,1.1061,1.10629,1.10625,0.00174200000037672,0.9667081398704547
chr01_g13730.t1.Gain.Vert.Bar,-1235.036275,-1235.036275,-1235.036275,-1235.036275,1,-1235.036275,-1235.036386,-1235.036435,-1235.036275,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g13736.t1.Gain.Vert.Bar,-3000.582064,-3000.582064,-3000.582064,-3000.582064,1,-3000.582109,-3000.582065,-3000.582064,-3000.582064,3,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g13737.t1.Gain.Vert.Bar,-1314.293156,-1314.293098,-1314.293098,-1314.293098,2,-1314.293098,-1314.293098,-1314.293098,-1314.293098,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g13763.t1.Gain.Vert.Bar,-4215.795316,-4215.795425,-4215.795315,-4215.795315,3,-4215.795331,-4215.795316,-4215.795351,-4215.795316,2,1.0,1.0,1.0,1.0,-1.999998858082108e-06,1.0
chr01_g13770.t1.Gain.Vert.Bar,-1635.513332,-1635.513097,-1635.513107,-1635.513097,2,-1635.485156,-1635.485007,-1635.485007,-1635.485007,2,3.18943,3.18946,3.18938,3.18946,0.05618000000004031,0.8126387876668938
chr01_g13771.t1.Gain.Vert.Bar,-4393.934433,-4393.934433,-4393.934433,-4393.934433,1,-4393.93449,-4393.934432,-4393.934433,-4393.934432,2,1.0,1.0,1.0,1.0,2.0000006770715117e-06,0.9988716210180326
chr01_g13772.t1.Gain.Vert.Bar,-1098.819203,-1098.819203,-1098.819203,-1098.819203,1,-1098.819203,-1098.819203,-1098.819203,-1098.819203,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g13776.t1.Gain.Vert.Bar,-5958.129182,-5958.129182,-5958.129182,-5958.129182,1,-5958.125743,-5958.125743,-5958.125742,-5958.125742,3,1.64353,1.64494,1.64195,1.64195,0.0068799999990005745,0.9338946638591443
chr01_g13778.t1.Gain.Vert.Bar,-1882.939775,-1882.939775,-1882.939775,-1882.939775,1,-1882.074659,-1882.074659,-1882.074659,-1882.074659,1,3.28072,3.28073,3.28073,3.28072,1.7302319999998872,0.18838127172410699
chr01_g13779.t1.Gain.Vert.Bar,-2251.541725,-2251.541725,-2251.541725,-2251.541725,1,-2251.541725,-2251.541725,-2251.541725,-2251.541725,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g13780.t1.Gain.Vert.Bar,-1046.624031,-1046.623998,-1046.62406,-1046.623998,2,-1046.624072,-1046.623998,-1046.623998,-1046.623998,2,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g13783.t1.Gain.Vert.Bar,-1245.705679,-1245.705679,-1245.705679,-1245.705679,1,-1246.063855,-1245.705679,-1246.063855,-1245.705679,2,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g13789.t1.Gain.Vert.Bar,-841.042804,-841.042804,-841.042804,-841.042804,1,-841.042804,-841.042804,-841.042804,-841.042804,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g13792.t1.Gain.Vert.Bar,-1744.610114,-1744.610098,-1743.58872,-1743.58872,3,-1744.610099,-1743.896816,-1743.896973,-1743.896816,2,1.0,1.0,1.0,1.0,-0.6161919999999554,1.0
chr01_g13959.t1.Gain.Vert.Bar,-1238.553697,-1238.553697,-1238.553759,-1238.553697,1,-1238.553853,-1238.553706,-1238.553697,-1238.553697,3,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g14115.t1.Gain.Vert.Bar,-3709.842179,-3709.842179,-3709.842179,-3709.842179,1,-3709.842178,-3709.842179,-3709.842179,-3709.842178,1,1.0,1.0,1.0,1.0,2.0000006770715117e-06,0.9988716210180326
chr01_g14116.t1.Gain.Vert.Bar,-3640.484722,-3640.484722,-3640.484722,-3640.484722,1,-3640.484722,-3640.484722,-3640.484722,-3640.484722,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g14117.t1.Gain.Vert.Bar,-5315.081071,-5315.081052,-5315.081052,-5315.081052,2,-5315.012972,-5315.012986,-5315.012972,-5315.012972,1,2.0302,2.0315,2.03031,2.0302,0.13616000000001804,0.7121287347645178
chr01_g14118.t1.Gain.Vert.Bar,-5898.890835,-5898.891136,-5897.45795,-5897.45795,3,-5897.457673,-5897.457676,-5897.457675,-5897.457673,1,1.0,1.0,1.0,1.0,0.0005540000001929002,0.9812217617217533
chr01_g14121.t1.Gain.Vert.Bar,-8690.873791,-8690.874431,-8690.873781,-8690.873781,3,-8690.873781,-8690.87378,-8690.873782,-8690.87378,2,1.0,1.0,1.0,1.0,2.0000006770715117e-06,0.9988716210180326
chr01_g14126.t1.Gain.Vert.Bar,-3447.029187,-3447.02938,-3447.029184,-3447.029184,3,-3447.029185,-3447.029185,-3447.029197,-3447.029185,1,1.0,1.0,1.0,1.0,-1.99999976757681e-06,1.0
chr01_g14127.t1.Gain.Vert.Bar,-4235.836603,-4235.836642,-4235.836603,-4235.836603,1,-4235.83668,-4235.83638,-4235.836943,-4235.83638,2,1.0,6.56804,1.0,6.56804,0.0004460000000108266,0.983150958140326
chr01_g14195.t1.Gain.Vert.Bar,-1919.544936,-1919.544936,-1919.544936,-1919.544936,1,-1919.544936,-1919.544936,-1919.544939,-1919.544936,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g14196.t1.Gain.Vert.Bar,-3308.981016,-3308.90158,-3308.98102,-3308.90158,2,-3308.364099,-3308.364099,-3307.949594,-3307.949594,3,21.65244,21.65443,12.72106,12.72106,1.903972000000067,0.16763439890281714
chr01_g14199.t2.Gain.Vert.Bar,-2795.553675,-2795.553695,-2795.553674,-2795.553674,3,-2795.553673,-2795.553674,-2795.553674,-2795.553673,1,1.0,1.0,1.0,1.0,1.99999976757681e-06,0.998871621274596
chr01_g14202.t1.Gain.Vert.Bar,-2933.366243,-2933.366243,-2933.366243,-2933.366243,1,-2933.366243,-2933.366243,-2933.366243,-2933.366243,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g14207.t1.Gain.Vert.Bar,-1720.80811,-1720.80811,-1720.80811,-1720.80811,1,-1720.806834,-1720.806834,-1720.80811,-1720.806834,1,1.0,1.0,1.0,1.0,0.0025519999999232823,0.9597101446652754
chr01_g14764.t1.Gain.Vert.Bar,-1689.605831,-1689.605831,-1689.605831,-1689.605831,1,-1689.361775,-1689.361775,-1689.361775,-1689.361775,1,1.3972,1.3972,1.3972,1.3972,0.488112000000001,0.4847707088868415
chr01_g1480.t1.Gain.Vert.Bar,-8975.595394,-8975.595394,-8975.595394,-8975.595394,1,-8969.336246,-8969.334935,-8969.334936,-8969.334935,2,51.53577,50.96255,50.97131,50.96255,12.520917999998346,0.00040242111948606696
chr01_g1481.t1.Gain.Vert.Bar,-2881.954531,-2880.679483,-2880.679484,-2880.679483,2,-2881.954531,-2880.679484,-2881.95453,-2880.679484,2,1.0,1.0,1.0,1.0,-1.99999976757681e-06,1.0
chr01_g1484.t1.Gain.Vert.Bar,-1344.312626,-1344.312626,-1344.312626,-1344.312626,1,-1344.312626,-1344.312626,-1344.312626,-1344.312626,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g1487.t1.Gain.Vert.Bar,-1518.341255,-1518.341255,-1523.126187,-1518.341255,1,-1518.341255,-1518.341255,-1518.341255,-1518.341255,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g1488.t1.Gain.Vert.Bar,-10495.430602,-10495.430626,-10495.430603,-10495.430602,1,-10495.12734,-10495.12734,-10495.127339,-10495.127339,3,2.88723,2.88769,2.88677,2.88677,0.606525999999576,0.4360988389199928
chr01_g1489.t1.Gain.Vert.Bar,-2811.634829,-2811.634829,-2811.634829,-2811.634829,1,-2811.634829,-2811.634829,-2811.634829,-2811.634829,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g1496.t1.Gain.Vert.Bar,-2217.375507,-2217.373942,-2217.37394,-2217.37394,3,-2217.373939,-2217.37394,-2217.375582,-2217.373939,1,1.0,1.0,1.0,1.0,1.99999976757681e-06,0.998871621274596
chr01_g1499.t1.Gain.Vert.Bar,-3561.450492,-3561.452737,-3561.452738,-3561.450492,1,-3561.452738,-3561.450493,-3561.452738,-3561.450493,2,1.0,1.0,1.0,1.0,-1.99999976757681e-06,1.0
chr01_g1501.t1.Gain.Vert.Bar,-2907.219183,-2907.219183,-2907.219183,-2907.219183,1,-2906.531044,-2906.545439,-2906.531044,-2906.531044,1,3.36687,3.34002,3.36682,3.36687,1.3762780000006387,0.24073615810816848
chr01_g1503.t1.Gain.Vert.Bar,-2441.185417,-2441.185076,-2441.185056,-2441.185056,3,-2441.185056,-2441.185068,-2441.185056,-2441.185056,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g1507.t1.Gain.Vert.Bar,-897.399475,-898.282207,-898.282207,-897.399475,1,-898.282207,-899.15665,-899.15665,-898.282207,1,1.0,1.0,1.0,1.0,-1.765463999999838,1.0
chr01_g1508.t1.Gain.Vert.Bar,-9562.392925,-9562.393867,-9562.392945,-9562.392925,1,-9562.254669,-9562.254672,-9562.40937,-9562.254669,1,2.28763,2.28893,1.03076,2.28763,0.27651200000036624,0.5989965425051282
chr01_g1509.t1.Gain.Vert.Bar,-3694.193092,-3694.193092,-3694.193091,-3694.193091,3,-3693.64346,-3693.64346,-3693.64346,-3693.64346,1,8.02701,8.02732,8.01946,8.02701,1.0992620000006355,0.294428121502315
chr01_g1510.t1.Gain.Vert.Bar,-2880.155699,-2880.155699,-2880.155699,-2880.155699,1,-2880.155699,-2880.155699,-2880.155699,-2880.155699,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g1519.t1.Gain.Vert.Bar,-4013.751433,-4013.75146,-4013.751445,-4013.751433,1,-4013.751385,-4013.751466,-4013.751389,-4013.751385,1,1.0116,1.0,1.0,1.0116,9.59999997576233e-05,0.9921824848998635
chr01_g1527.t1.Gain.Vert.Bar,-1382.816973,-1382.816973,-1382.816973,-1382.816973,1,-1382.816973,-1382.816973,-1382.816973,-1382.816973,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g1528.t1.Gain.Vert.Bar,-1943.350969,-1943.350969,-1943.350969,-1943.350969,1,-1943.316683,-1943.316683,-1943.316683,-1943.316683,1,1.77791,1.7779,1.77761,1.77791,0.06857200000013108,0.7934274058999948
chr01_g1529.t1.Gain.Vert.Bar,-3753.783238,-3753.78324,-3753.783237,-3753.783237,3,-3753.783239,-3753.783238,-3753.783283,-3753.783238,2,1.0,1.0,1.02709,1.0,-1.99999976757681e-06,1.0
chr01_g15429.t1.Gain.Vert.Bar,-1394.970364,-1394.97081,-1395.660615,-1394.970364,1,-1394.970154,-1394.970154,-1394.970154,-1394.970154,1,1.0,1.0,1.0,1.0,0.00041999999984909664,0.9836493769316303
chr01_g15431.t1.Gain.Vert.Bar,-1862.88897,-1862.88897,-1862.88897,-1862.88897,1,-1862.799351,-1862.799351,-1862.799351,-1862.799351,1,4.21863,4.21863,4.21869,4.21863,0.17923800000016854,0.6720289106808643
chr01_g15432.t1.Gain.Vert.Bar,-7209.887372,-7209.887374,-7209.887374,-7209.887372,1,-7209.887374,-7209.887374,-7209.887374,-7209.887374,1,1.0,1.0,1.0,1.0,-3.99999953515362e-06,1.0
chr01_g15433.t1.Gain.Vert.Bar,-5903.328616,-5903.328643,-5903.328616,-5903.328616,1,-5903.328615,-5903.328615,-5903.328611,-5903.328611,3,1.0,1.0,1.0,1.0,9.999999747378752e-06,0.997476871715064
chr01_g1558.t4.Gain.Vert.Bar,-5270.466124,-5270.465867,-5270.465896,-5270.465867,2,-5270.465931,-5270.466908,-5270.465851,-5270.465851,3,1.0,1.0,1.0,1.0,3.199999991920777e-05,0.995486507409289
chr01_g1564.t1.Gain.Vert.Bar,-2528.80446,-2528.80446,-2528.80446,-2528.80446,1,-2528.80446,-2528.80446,-2528.804459,-2528.804459,3,1.0,1.0,1.0,1.0,1.99999976757681e-06,0.998871621274596
chr01_g1571.t1.Gain.Vert.Bar,-2120.449574,-2120.449574,-2120.465161,-2120.449574,1,-2120.442466,-2120.475506,-2120.429656,-2120.429656,3,1.18327,1.18361,1.16972,1.16972,0.03983600000083243,0.8418015786413391
chr01_g1572.t1.Gain.Vert.Bar,-1163.003457,-1163.003525,-1163.003457,-1163.003457,1,-1163.003457,-1163.003457,-1163.003458,-1163.003457,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g1573.t1.Gain.Vert.Bar,-1079.03446,-1079.034217,-1079.034217,-1079.034217,2,-1079.034217,-1079.034217,-1079.034217,-1079.034217,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g1579.t1.Gain.Vert.Bar,-4656.717756,-4656.717757,-4656.717756,-4656.717756,1,-4656.533248,-4656.533248,-4656.533248,-4656.533248,1,2.95929,2.95804,2.95789,2.95929,0.36901600000055623,0.5435411215569909
chr01_g1580.t1.Gain.Vert.Bar,-2615.607472,-2615.605888,-2615.605888,-2615.605888,2,-2615.606097,-2615.605888,-2615.605888,-2615.605888,2,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g17485.t1.Gain.Vert.Bar,-3196.322625,-3196.32262,-3196.32262,-3196.32262,2,-3196.31438,-3196.314381,-3196.314381,-3196.31438,1,1.23304,1.23244,1.23268,1.23304,0.016480000000228756,0.8978526479741158
chr01_g17486.t1.Gain.Vert.Bar,-2018.006252,-2018.006252,-2017.979115,-2017.979115,3,-2018.006252,-2017.979396,-2018.006252,-2017.979396,2,1.0,1.0,1.0,1.0,-0.0005619999997179548,1.0
chr01_g1753.t1.Gain.Vert.Bar,-4164.853716,-4164.853715,-4164.853715,-4164.853715,2,-4164.853715,-4164.853715,-4164.853715,-4164.853715,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g1754.t1.Gain.Vert.Bar,-6767.973682,-6767.973682,-6767.97368,-6767.97368,3,-6766.387599,-6766.387599,-6766.3876,-6766.387599,1,7.14069,7.14156,7.14062,7.14069,3.1721620000007533,0.07490323286204649
chr01_g1755.t1.Gain.Vert.Bar,-830.843999,-830.843865,-830.843865,-830.843865,2,-830.843865,-831.205538,-830.843865,-830.843865,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g1758.t1.Gain.Vert.Bar,-2376.493223,-2376.527903,-2376.493223,-2376.493223,1,-2376.493223,-2376.527903,-2376.493223,-2376.493223,1,1.0,1.0,1.0,1.0,0.0,1.0
chr01_g1799.t1.Gain.Vert.Bar,-6947.369913,-6947.369913,-6947.369913,-6947.369913,1,-6946.565529,-6946.565529,-6946.565529,-6946.565529,1,3.22274,3.22272,3.22273,3.22274,1.6087680000000546,0.2046650698222872
